CNN_Training_Predictions	ET_Training_Predictions	SVM_Training_Predictions	gold	names	customSortScore	group	modelSortScore	PyConText_Training_Predictions	RealSVMScore
1	1	1	1	8746	18.9955633445	3	157.44827559	1.0	1.28141553179
0	1	1	1	800	202.674860206	3	280.986587502	1.0	4.07966281555
0	1	1	1	731376	80.4557375662	3	240.956285566	1.0	5.42212386643
1	1	1	1	727171	76.5002458189	3	238.112832974	1.0	1.68451660149
1	1	1	1	723727	14.896851522	3	104.634838592	1.0	0.671363329031
1	1	1	1	723572	40.3571440625	3	164.416744505	1.0	1.00010331889
1	1	1	1	723540	109.46361903	3	236.955347064	1.0	4.42294393998
0	1	1	1	709025	52.4699756395	3	100.482622109	1.0	0.518156850436
1	1	0	1	702778	9.73762451444	3	41.6460728284	1.0	-0.0213336678514
1	1	1	1	702187	22.5828578228	3	37.834505573	1.0	0.494105401866
1	1	1	1	699322	22.9459057382	3	260.763389646	1.0	0.99988418066
0	1	1	1	698572	88.4652594878	3	177.186056523	1.0	2.57637715955
1	1	1	1	698102	151.841593756	3	355.459691915	1.0	7.99753988327
1	1	0	1	693501	14.8384507196	3	102.394748094	0.0	-0.571751868025
1	1	0	1	321942	19.0675101635	3	70.836205658	1.0	-0.516282485085
0	1	1	1	671753	70.0379175198	3	134.091932265	1.0	1.9182640051
0	1	1	1	558637	37.1762087114	3	112.511072596	1.0	3.70614408334
1	1	1	1	684054	54.8474597464	3	270.717457335	1.0	2.97763070752
1	1	1	1	627975	13.4520475087	3	58.1980557298	1.0	0.783740845847
0	1	1	1	676957	49.8636601207	3	97.6564158433	1.0	2.72082831042
1	1	1	1	675555	28.023692155	3	206.622625639	1.0	3.16822065244
1	1	1	1	52604	16.1691745337	3	83.9816545995	1.0	0.403640260994
1	1	1	1	674665	143.113380717	3	99.399880493	1.0	1.95097550297
1	1	1	1	672157	69.6560172187	3	129.30158027	1.0	1.88325826424
1	1	1	1	4845	70.78024006	3	179.620195211	1.0	1.59830763719
1	1	1	1	671990	89.2402001647	3	209.707686866	1.0	1.00001522789
1	1	1	1	14032	49.4614815108	3	159.578480251	1.0	0.999964715834
0	1	0	1	655156	6.64986756998	3	41.8829334231	1.0	-0.782271047863
0	1	0	1	391001	2.52760120442	3	20.1614079792	1.0	-1.95727011918
1	1	1	1	646511	33.5115622269	3	87.7670557739	1.0	1.00000455805
1	1	0	1	633993	6.58492879689	3	40.2320795794	1.0	-1.04756342567
1	1	1	1	625868	24.57890873	3	4.85843443873	1.0	0.999446800472
1	1	0	1	621344	7.9726433462	3	34.6286525118	1.0	-0.401086664238
1	1	0	1	605293	7.51886605402	3	33.6748943258	0.0	-0.22878337215
1	1	1	1	24192	80.8154678003	3	219.503534998	1.0	1.6664830848
1	1	1	1	451854	542.001110106	3	717.392045241	1.0	7.13169406519
1	1	0	1	593031	9.79352699027	3	24.1406082898	1.0	-0.0693218784518
0	1	1	1	54044	16.9525886342	3	59.7761761479	1.0	0.953991618468
1	1	1	1	583368	210.882023705	3	711.762460591	1.0	7.34315248192
1	1	1	1	9249	87.4897937561	3	330.263174294	1.0	1.37707529761
1	1	1	1	1018	62.1967701273	3	68.2910291661	1.0	5.91291138528
1	1	0	1	581404	24.0631418407	3	101.457079335	1.0	-0.866321548203
1	1	1	1	566014	133.116977178	3	418.054039721	1.0	6.16111071133
1	1	1	1	565904	41.4086668355	3	272.82563439	1.0	0.999915766435
0	1	1	1	561328	46.4187470196	3	185.730131607	1.0	3.52218727769
1	1	1	1	10645	47.991638429	3	164.651502672	1.0	1.7031106795
1	1	1	1	558306	102.107395281	3	200.22204628	1.0	2.10799109257
1	1	1	1	555782	73.9988254084	3	298.098652133	1.0	1.23363012482
1	1	1	1	11228	18.4623016938	3	65.4339681395	1.0	0.150786931781
1	1	1	1	440494	20.6526117125	3	62.5608821172	1.0	0.18366252409
0	1	1	1	636941	84.3423682848	3	205.896630839	1.0	1.18254045198
1	0	1	1	553754	45.5407618247	3	42.7555506939	1.0	3.11026022897
1	0	1	1	15118	26.4837785879	3	53.3279109538	1.0	0.321532065774
1	1	1	1	551718	68.4747227172	3	80.5037366006	1.0	2.66874278227
1	1	0	1	546266	6.72250556783	3	117.117468383	1.0	-0.993170026247
0	1	1	1	553565	31.4632093497	3	43.7341330797	1.0	2.003271023
0	1	1	1	542386	50.3609694252	3	101.352682195	1.0	3.52150267308
1	1	1	1	54139	560.592827006	3	1240.64141142	1.0	8.62164592478
1	1	1	1	395222	52.9009785095	3	115.956222455	1.0	3.11129978257
1	1	1	1	539804	31.170453045	3	158.901100969	1.0	0.787520272534
1	1	1	1	22142	38.4482998247	3	237.523586053	1.0	0.661332331207
1	1	1	1	526717	43.6327391427	3	73.7784824843	1.0	1.50954826387
1	1	1	1	705447	10.8012334152	3	103.626666205	1.0	0.498700367422
0	1	1	1	11034	80.2273314465	3	236.275079977	1.0	1.56310932175
0	1	0	1	346086	9.13970907453	3	65.065122024	1.0	-0.214680096767
0	1	1	1	520437	8.89675769105	3	43.1548554207	1.0	0.123092333051
1	1	1	1	51363	141.41431595	3	472.083241185	1.0	6.90599781297
1	1	1	1	499175	108.538931252	3	292.958454277	1.0	6.99021997832
1	1	1	1	712974	64.3880098554	3	346.75168406	1.0	0.999687320561
1	1	0	1	676179	11.151512966	3	111.41171184	1.0	-0.21922954655
1	1	1	1	494283	15.7061750372	3	140.434819177	1.0	0.290507081986
0	1	1	1	6919	32.2932084309	3	241.548685485	1.0	0.55113898334
1	1	1	1	379885	133.059736024	3	445.270253797	1.0	3.38757576187
1	1	1	1	493902	10.2323829092	3	69.6284011905	0.0	0.99975278629
1	1	1	1	492275	17.6861483222	3	150.461927096	1.0	1.32145477224
1	1	1	1	47201	63.2324559355	3	171.333720783	1.0	0.9493840974
1	1	1	1	490446	16.947653724	3	213.307479114	1.0	2.84139395889
1	1	1	1	622913	94.5103163154	3	219.768649759	1.0	2.42704979774
1	1	1	1	489223	9.36159039602	3	69.3206199216	1.0	0.351290712811
0	1	1	1	717023	10.7370052511	3	-0.153297511163	1.0	1.26472204755
1	1	1	1	48412	34.1915054239	3	240.492547234	1.0	1.73539804944
1	1	1	1	18506	21.5602639774	3	55.3106134789	1.0	0.999653315875
0	1	1	1	563256	95.3961456585	3	152.924440006	1.0	1.21550994339
1	1	1	1	482802	6.79237052749	3	81.3581880319	0.0	0.950027829227
1	1	1	1	622596	35.5523610981	3	317.372165535	1.0	3.24218353639
0	1	0	1	47451	37.2921729882	3	257.122308543	0.0	-0.1160052927
1	1	0	1	472308	16.1655710604	3	124.358063566	1.0	-0.532413957981
0	1	1	1	569692	102.976636003	3	161.657389995	1.0	1.30012791885
0	1	1	1	459942	9.91992372935	3	67.9278325751	1.0	0.19492551834
1	1	0	1	459701	9.90347983975	3	142.259864624	1.0	-1.12124629277
0	1	1	1	451902	69.6560172187	3	129.30158027	1.0	0.999544891981
0	0	1	1	623276	60.0653509437	3	213.720596231	1.0	1.3473371805
1	1	1	1	449640	258.520082762	3	561.14018356	1.0	7.68483415932
1	1	1	1	44125	39.2417198917	3	50.2905195178	1.0	1.03655977708
1	1	0	1	14361	9.01700195695	3	88.61025947	0.0	-0.423411325324
0	1	1	1	44094	47.319381573	3	259.816054362	1.0	3.51581988221
1	1	1	1	374983	58.0899371119	3	134.657551226	1.0	0.999560928417
1	1	1	1	44993	33.0012909396	3	256.446846559	1.0	1.00040204266
1	1	1	1	439881	61.5863002517	3	28.9889462812	1.0	1.93717055693
1	1	0	1	428267	9.1385519853	3	79.6699210134	1.0	-0.524226783872
0	1	1	1	611982	48.2741169176	3	70.5011277399	1.0	4.56179129815
0	1	1	1	622615	10.2807477459	3	79.3199503631	1.0	0.0595542275987
1	1	1	1	424113	24.7285506181	3	127.617926381	1.0	2.15581036621
0	1	1	1	350270	49.3828153395	3	177.844925691	1.0	6.74129346051
1	1	1	1	11406	45.602647807	3	103.304216645	1.0	0.999629818917
1	1	1	1	422241	38.375306354	3	204.025006238	1.0	2.38993004205
1	1	0	1	414923	16.7121856457	3	51.8437270043	1.0	-0.0560763076588
1	1	1	1	617001	35.1126807076	3	41.8548626149	1.0	4.40594918474
0	1	1	1	545388	15.8103360045	3	46.7121728359	0.0	0.999820942302
0	1	0	1	406719	6.20671756035	3	43.3000928805	0.0	-1.31283811827
0	1	1	1	402821	7.45085638999	3	5.07346547014	1.0	0.446869059254
0	1	1	1	589712	36.3309589436	3	76.0744360835	1.0	1.45255247617
0	1	1	1	50730	71.4156949637	3	165.717631123	1.0	1.73178492126
1	1	1	1	412080	88.0258560755	3	254.423541287	1.0	1.83100319992
1	1	1	1	376865	162.858620574	3	495.667691448	1.0	6.73403156351
1	1	1	1	362930	25.8979040348	3	81.213850565	1.0	1.24200531197
0	1	0	1	40273	13.081881573	3	52.2057135448	1.0	-1.01173682279
1	1	0	1	351219	14.7066900351	3	106.234760039	1.0	-0.373914036212
0	1	0	1	13656	31.3415948568	3	80.6073511318	1.0	-0.0108916064591
1	1	1	1	402459	119.296501623	3	505.973072888	1.0	4.60828971806
1	1	0	1	42522	14.7005060221	3	173.106909276	1.0	-1.484024935
0	1	1	1	695065	48.2741169176	3	70.5011277399	1.0	1.84442478407
1	1	1	1	402692	39.700099937	3	253.430994742	1.0	3.86708962026
0	1	1	1	401131	12.4175261969	3	86.4502302467	1.0	0.293959023694
1	1	0	1	54182	9.16254059661	3	126.233400098	0.0	-0.990990035121
1	1	1	1	393043	59.960100457	3	209.763186921	1.0	3.88834032709
1	1	1	1	677300	83.6299267858	3	165.417570715	1.0	3.64428688836
1	1	1	1	38278	18.1955852619	3	82.0337704594	1.0	0.155173769883
1	1	0	1	37706	22.8145396758	3	26.8356892006	0.0	-0.554621122869
1	1	1	1	382586	56.1610208685	3	129.15282538	1.0	0.538068426994
0	1	1	1	380283	23.8868270869	3	113.600332213	1.0	1.41597346769
1	1	1	1	40590	114.898199087	3	225.565007631	1.0	1.09259521885
1	1	1	1	580701	25.7296850449	3	111.597786773	1.0	2.40231101121
1	1	1	1	433330	32.2109946702	3	71.8881571526	1.0	1.03551265032
1	1	1	1	350023	50.3775496268	3	35.4245028244	1.0	1.82868375902
1	1	0	1	424080	29.3725687606	3	202.14583027	1.0	-0.268826544218
0	1	1	1	25718	17.4373490678	3	86.2397557295	1.0	0.597035982526
1	1	1	1	37490	198.171587521	3	0.111262786126	0.0	0.999821459292
1	1	1	1	326663	42.4236289384	3	209.335966226	1.0	3.50895493503
1	1	1	1	414067	116.226775559	3	503.879139373	1.0	5.19924314715
1	1	0	1	371825	6.35806847329	3	46.098882684	1.0	-0.7494317543
0	1	0	1	34822	25.7759981271	3	63.5673028109	1.0	-0.417559817252
1	1	1	1	607244	123.37372685	3	377.31835335	1.0	1.0001413843
1	1	1	1	693716	39.2044892897	3	263.975635197	1.0	1.94049275127
0	1	1	1	367814	24.3741926169	3	72.2153936584	1.0	0.112752810148
1	1	0	1	16730	9.4167909639	3	43.8945621729	1.0	-0.391197952125
1	1	1	1	36446	142.766826988	3	285.689759768	1.0	5.97214678402
1	1	0	1	385405	10.0124496893	3	69.4760466422	1.0	-0.231639199794
1	1	0	1	27299	13.9244702799	3	101.453979367	1.0	-0.601471226237
1	1	1	1	706656	15.5952518645	3	112.456147692	1.0	0.42352863843
1	1	1	1	354118	70.8965530593	3	306.714939534	1.0	3.201552155
1	1	1	1	598362	63.7301862126	3	296.335327504	1.0	3.33790182907
1	1	1	1	2490	362.643330063	3	364.190536812	1.0	5.95191607177
1	1	0	1	603706	27.9071721782	3	44.8858952531	1.0	-0.289227854787
1	1	1	1	353252	128.364990192	3	257.958561709	1.0	7.8921758966
0	1	1	1	546985	36.6198728309	3	203.285421174	1.0	1.00033513036
0	1	1	1	348076	22.8232533783	3	23.679003398	1.0	0.258845382564
1	1	1	1	8232	60.6061354964	3	167.722261196	1.0	2.45948496147
1	1	1	1	715171	80.6718084546	3	249.159517077	1.0	3.94022000587
1	1	0	1	390098	10.1251316651	3	30.8637917832	1.0	-0.530624587482
1	1	1	1	23130	328.668366026	3	447.603275717	1.0	5.83810524628
1	0	0	1	348419	12.9289492141	3	78.4429881198	1.0	-0.600338059462
1	1	1	1	344298	17.632543936	3	214.893847353	1.0	0.886297057117
1	1	1	1	19578	58.2243677731	3	155.428716703	1.0	3.01339924837
1	1	1	1	10992	122.351183423	3	213.351499677	1.0	0.999893827157
1	1	0	1	2384	86.3866203906	3	387.301891589	1.0	-0.439645659161
1	1	0	1	342967	10.2611240236	3	48.2501522033	1.0	-0.455681196845
1	1	0	1	335844	7.59443210965	3	37.6966658129	1.0	-0.426844499098
0	1	1	1	321198	8.14931143192	3	41.1991781104	1.0	1.00011268541
1	1	1	1	29830	145.296458361	3	256.264365552	1.0	4.99681037256
1	1	1	1	664480	62.2084780288	3	99.5057119079	1.0	0.333016058376
1	1	1	1	4005	20.7980427278	3	126.603433508	1.0	2.1048476979
0	1	1	1	11779	76.3454129875	3	59.651657011	1.0	1.54748249155
1	1	1	1	28634	36.5498698738	3	194.127491308	1.0	1.56584411574
1	1	0	1	26828	10.8403741748	3	62.7203467325	1.0	-0.818513223146
0	1	0	1	321901	11.7728043863	3	128.848029889	0.0	-1.03347454076
0	1	1	1	365943	64.6353163154	3	110.492471209	1.0	2.39791448577
1	1	0	1	11387	12.8297862033	3	76.0265095598	1.0	-0.113348155407
0	1	1	1	1280	9.73798449612	3	44.6299206458	0.0	4.00365082008
1	1	1	1	16399	250.28783418	3	292.601028021	1.0	5.77412281654
1	1	0	1	5205	582.217076938	3	160.867336184	1.0	-0.466616664746
1	1	0	1	39496	20.9924693573	3	121.391075219	1.0	-0.969755889013
1	1	1	1	18973	132.71942018	3	177.584236265	1.0	1.7840955053
1	1	1	1	647348	112.663968609	3	139.124461832	1.0	2.68021277329
1	1	0	1	23962	34.5569058691	3	108.589068086	1.0	-0.389097855884
1	1	0	1	428510	10.3378435908	3	94.0602641807	1.0	-0.645277784984
1	1	1	1	1147	22.5409323149	3	111.858326423	1.0	0.160817602112
1	1	0	1	2611	65.5742072271	3	182.024865474	1.0	-1.42014590864
0	1	1	1	13516	61.451955386	3	143.292953603	1.0	1.51913193607
1	1	0	1	475181	8.73612932505	3	148.730236298	1.0	-0.155498665071
0	1	0	1	403123	19.4286740446	3	52.8282990999	0.0	-1.72314403637
1	1	0	1	27232	35.1469940506	3	221.385097579	1.0	-1.88399150958
0	1	1	1	559223	36.8976885281	3	198.163814953	1.0	2.71153100356
1	1	1	1	472723	52.8554999374	3	28.989406055	1.0	0.345147858121
1	1	1	1	11515	117.352715438	3	167.608799531	1.0	6.03857243954
1	1	1	1	483461	5.19331995093	3	38.4570320202	1.0	0.102330754717
1	1	1	1	15608	33.5751137019	3	125.827181636	1.0	3.55287557683
1	1	1	1	601520	38.7191009303	3	103.023009136	1.0	0.405023920707
1	1	0	1	2243	8.21631968734	3	32.439414751	1.0	-0.81576813254
